t,y
"0,00","3,19E-01"
"0,03","2,92E-01"
"0,07","2,91E-01"
"0,10","2,91E-01"
"0,13","2,46E-01"
"0,17","2,20E-01"
"0,20","1,79E-01"
"0,23","1,41E-01"
"0,27","1,40E-01"
"0,30","1,80E-01"
"0,33","2,28E-01"
"0,37","2,70E-01"
"0,40","2,79E-01"
"0,43","2,83E-01"
"0,47","2,52E-01"
"0,50","2,08E-01"
"0,53","1,52E-01"
"0,57","1,20E-01"
"0,60","1,07E-01"
"0,63","1,11E-01"
"0,67","1,10E-01"
"0,70","1,54E-01"
"0,73","1,67E-01"
"0,77","1,81E-01"
"0,80","1,73E-01"
"0,83","1,34E-01"
"0,87","8,39E-02"
"0,90","3,20E-02"
"0,93","1,34E-02"
"0,97","3,21E-03"
"1,00","-1,89E-03"
"1,03","4,58E-02"
"1,07","7,70E-02"
"1,10","8,99E-02"
"1,13","8,73E-02"
"1,17","6,97E-02"
"1,20","1,41E-02"
"1,23","-1,30E-02"
"1,27","-3,27E-02"
"1,30","-3,89E-02"
"1,33","-8,73E-03"
"1,37","1,73E-02"
"1,40","7,84E-02"
"1,43","1,18E-01"
"1,47","1,64E-01"
"1,50","1,68E-01"
"1,57","1,65E-01"
"1,60","1,23E-01"
"1,63","7,36E-02"
"1,67","6,81E-02"
"1,70","5,68E-02"
"1,73","7,77E-02"
"1,77","1,16E-01"
"1,80","1,60E-01"
"1,83","2,01E-01"
"1,87","2,52E-01"
"1,90","2,80E-01"
"1,93","2,80E-01"
"1,97","2,44E-01"
"2,00","1,70E-01"
"2,03","1,62E-01"
"2,07","1,75E-01"
"2,10","2,01E-01"
"2,13","2,34E-01"
"2,17","2,88E-01"
"2,20","3,40E-01"
"2,23","3,55E-01"
"2,27","3,49E-01"
"2,30","2,95E-01"
"2,33","2,71E-01"
"2,37","2,05E-01"
"2,40","1,97E-01"
"2,43","1,99E-01"
"2,47","2,26E-01"
"2,50","2,99E-01"
"2,53","3,56E-01"
"2,57","4,22E-01"
"2,60","4,34E-01"
"2,63","4,37E-01"
"2,67","3,88E-01"
"2,70","3,15E-01"
"2,73","2,56E-01"
"2,77","1,92E-01"
"2,80","1,79E-01"
"2,83","1,90E-01"
"2,87","2,68E-01"
"2,90","3,72E-01"
"2,93","4,33E-01"
"2,97","4,62E-01"
"3,00","4,80E-01"
"3,03","4,46E-01"
"3,07","3,64E-01"
"3,10","3,38E-01"
"3,13","3,30E-01"
"3,17","3,47E-01"
"3,20","3,89E-01"
"3,23","4,59E-01"
"3,27","5,50E-01"
"3,30","6,00E-01"
"3,33","6,14E-01"
"3,37","5,95E-01"
"3,40","5,36E-01"
"3,43","4,46E-01"
"3,47","3,28E-01"
"3,50","2,46E-01"
"3,53","2,25E-01"
"3,57","2,29E-01"
"3,60","3,28E-01"
"3,63","4,20E-01"
"3,67","4,84E-01"
"3,70","5,22E-01"
"3,73","5,24E-01"
"3,77","4,83E-01"
"3,80","3,92E-01"
"3,83","3,10E-01"
"3,87","2,54E-01"
"3,90","2,19E-01"
"3,93","2,26E-01"
"3,97","3,19E-01"
"4,00","4,32E-01"
"4,03","5,20E-01"
"4,07","5,75E-01"
"4,10","5,63E-01"
"4,13","5,38E-01"
"4,17","4,44E-01"
"4,20","3,18E-01"
"4,23","2,35E-01"
"4,27","2,06E-01"
"4,30","2,19E-01"
"4,33","3,10E-01"
"4,37","4,33E-01"
"4,40","5,23E-01"
"4,43","5,91E-01"
"4,47","5,90E-01"
"4,50","5,17E-01"
"4,53","4,03E-01"
"4,57","2,80E-01"
"4,60","1,66E-01"
"4,63","5,03E-02"
"4,67","5,41E-02"
"4,70","1,08E-01"
"4,73","2,26E-01"
"4,77","3,41E-01"
"4,80","4,08E-01"
"4,83","4,15E-01"
"4,87","3,64E-01"
"4,90","3,07E-01"
"4,93","1,96E-01"
"4,97","8,63E-02"
"5,00","6,22E-02"
"5,03","6,33E-02"
"5,07","1,10E-01"
"5,10","2,39E-01"
"5,13","3,44E-01"
"5,17","4,06E-01"
"5,20","3,88E-01"
"5,23","3,43E-01"
"5,27","2,16E-01"
"5,30","7,30E-02"
"5,33","-9,32E-02"
"5,37","-1,59E-01"
"5,40","-1,44E-01"
"5,43","-6,10E-02"
"5,47","8,18E-02"
"5,50","2,27E-01"
"5,53","3,56E-01"
"5,57","3,98E-01"
"5,60","4,05E-01"
"5,63","3,34E-01"
"5,67","2,12E-01"
"5,70","9,55E-02"
"5,73","6,91E-03"
"5,77","3,74E-03"
"5,80","4,19E-02"
"5,83","1,69E-01"
"5,87","2,89E-01"
"5,90","3,88E-01"
"5,93","4,33E-01"
"5,97","3,92E-01"
"6,00","3,37E-01"
"6,03","1,85E-01"
"6,07","2,90E-02"
"6,10","-6,97E-02"
"6,13","-6,96E-02"
"6,17","1,46E-02"
"6,20","1,64E-01"
"6,23","3,35E-01"
"6,27","4,71E-01"
"6,30","5,30E-01"
"6,33","5,34E-01"
"6,37","4,34E-01"
"6,40","2,69E-01"
"6,43","1,05E-01"
"6,47","-6,99E-03"
"6,50","-4,38E-02"
"6,53","-1,52E-02"
"6,57","1,06E-01"
"6,60","2,52E-01"
"6,63","3,96E-01"
"6,67","4,75E-01"
"6,70","4,55E-01"
"6,73","3,72E-01"
"6,77","2,14E-01"
"6,80","3,98E-02"
"6,83","-7,93E-02"
"6,87","-1,44E-01"
"6,90","-9,81E-02"
"6,93","1,22E-02"
"6,97","1,71E-01"
"7,00","3,25E-01"
"7,03","3,95E-01"
"7,07","4,14E-01"
"7,10","3,38E-01"
"7,13","1,69E-01"
"7,17","-8,39E-03"
"7,20","-1,72E-01"
"7,23","-2,29E-01"
"7,27","-1,92E-01"
"7,30","-5,28E-02"
"7,33","1,13E-01"
"7,37","2,79E-01"
"7,40","4,06E-01"
"7,43","4,45E-01"
"7,47","3,94E-01"
"7,50","2,51E-01"
"7,53","9,65E-02"
"7,57","-5,85E-02"
"7,60","-1,48E-01"
"7,63","-1,26E-01"
"7,67","-9,16E-03"
"7,70","1,92E-01"
"7,73","3,68E-01"
"7,77","5,14E-01"
"7,80","5,67E-01"
"7,83","5,26E-01"
"7,87","3,99E-01"
"7,90","2,19E-01"
"7,93","7,08E-02"
"7,97","-3,37E-02"
"8,00","-5,27E-02"
"8,03","5,18E-03"
"8,07","1,63E-01"
"8,10","3,47E-01"
"8,13","4,64E-01"
"8,17","5,28E-01"
"8,20","4,69E-01"
"8,23","3,38E-01"
"8,27","1,68E-01"
"8,30","-1,06E-02"
"8,33","-1,35E-01"
"8,37","-1,67E-01"
"8,40","-6,77E-02"
"8,43","1,02E-01"
"8,47","2,90E-01"
"8,50","4,68E-01"
"8,53","5,30E-01"
"8,57","5,16E-01"
"8,60","3,86E-01"
"8,63","1,70E-01"
"8,67","-5,59E-02"
"8,70","-2,17E-01"
"8,73","-2,61E-01"
"8,77","-2,03E-01"
"8,80","-2,84E-02"
"8,83","1,77E-01"
"8,87","3,74E-01"
"8,90","5,00E-01"
"8,93","4,99E-01"
"8,97","4,29E-01"
"9,00","2,60E-01"
"9,03","7,85E-02"
"9,07","-7,26E-02"
"9,10","-1,50E-01"
"9,13","-8,87E-02"
"9,17","7,50E-02"
"9,20","2,78E-01"
"9,23","4,60E-01"
"9,27","5,77E-01"
"9,30","5,90E-01"
"9,33","4,83E-01"
"9,37","3,18E-01"
"9,40","1,12E-01"
"9,43","-5,46E-02"
"9,47","-9,55E-02"
"9,50","-5,90E-02"
"9,53","1,10E-01"
"9,57","3,12E-01"
"9,60","5,27E-01"
"9,63","6,98E-01"
"9,67","7,33E-01"
"9,70","6,62E-01"
"9,73","5,91E-01"
"9,77","3,86E-01"
"9,80","1,88E-01"
"9,83","7,94E-02"
"9,87","1,21E-01"
"9,90","2,72E-01"
"9,93","5,01E-01"
"9,97","7,32E-01"
"10,00","9,14E-01"
"10,03","9,95E-01"
"10,07","9,58E-01"
"10,10","8,17E-01"
"10,13","6,07E-01"
"10,17","3,82E-01"
"10,20","2,94E-01"
"10,23","3,01E-01"
"10,27","4,19E-01"
"10,30","6,14E-01"
"10,33","8,36E-01"
"10,37","1,00E+00"
"10,40","1,06E+00"
"10,43","1,01E+00"
"10,47","8,67E-01"
"10,50","6,50E-01"
"10,53","4,31E-01"
"10,57","3,01E-01"
"10,60","2,69E-01"
"10,63","3,53E-01"
"10,67","5,38E-01"
"10,70","7,42E-01"
"10,73","9,19E-01"
"10,77","1,04E+00"
"10,80","1,02E+00"
"10,83","8,83E-01"
"10,87","6,90E-01"
"10,90","4,52E-01"
"10,93","3,00E-01"
"10,97","2,89E-01"
"11,00","3,74E-01"
"11,03","5,69E-01"
"11,07","8,04E-01"
"11,10","1,04E+00"
"11,13","1,16E+00"
"11,17","1,16E+00"
"11,20","1,03E+00"
"11,23","8,03E-01"
"11,27","5,69E-01"
"11,30","3,77E-01"
"11,33","3,16E-01"
"11,37","4,02E-01"
"11,40","5,86E-01"
"11,43","8,33E-01"
"11,47","1,05E+00"
"11,50","1,17E+00"
"11,53","1,18E+00"
"11,57","1,06E+00"
"11,60","8,47E-01"
"11,63","5,89E-01"
"11,67","3,45E-01"
"11,70","2,54E-01"
"11,73","2,62E-01"
"11,77","3,96E-01"
"11,80","6,32E-01"
"11,83","8,50E-01"
"11,87","1,01E+00"
"11,90","1,02E+00"
"11,93","9,16E-01"
"11,97","7,39E-01"
"12,00","5,18E-01"
"12,03","3,03E-01"
"12,07","1,81E-01"
"12,10","1,81E-01"
"12,13","3,36E-01"
"12,17","5,47E-01"
"12,20","7,74E-01"
"12,23","9,50E-01"
"12,27","9,80E-01"
"12,30","9,16E-01"
"12,33","7,06E-01"
"12,37","4,79E-01"
"12,40","2,62E-01"
"12,43","1,60E-01"
"12,47","1,66E-01"
"12,50","3,19E-01"
"12,53","5,27E-01"
"12,57","7,71E-01"
"12,60","9,69E-01"
"12,63","1,06E+00"
"12,67","1,02E+00"
"12,70","8,54E-01"
"12,73","6,34E-01"
"12,77","3,86E-01"
"12,80","2,51E-01"
"12,83","2,36E-01"
"12,87","1,95E-01"
"12,90","4,17E-01"
"12,93","6,55E-01"
"12,97","8,59E-01"
"13,00","9,84E-01"
"13,03","9,55E-01"
"13,07","8,10E-01"
"13,10","5,65E-01"
"13,13","3,37E-01"
"13,17","1,68E-01"
"13,20","8,03E-02"
"13,23","1,58E-01"
"13,27","3,41E-01"
"13,30","5,88E-01"
"13,33","8,20E-01"
"13,37","9,41E-01"
"13,40","9,40E-01"
"13,43","8,13E-01"
"13,47","6,18E-01"
"13,50","4,01E-01"
"13,53","2,15E-01"
"13,57","1,41E-01"
"13,60","1,85E-01"
"13,63","3,63E-01"
"13,67","6,11E-01"
"13,70","8,31E-01"
"13,73","9,80E-01"
"13,77","9,85E-01"
"13,80","8,65E-01"
"13,83","6,87E-01"
"13,87","4,75E-01"
"13,90","3,15E-01"
"13,93","2,58E-01"
"13,97","3,08E-01"
"14,00","4,85E-01"
"14,03","7,23E-01"
"14,07","9,40E-01"
"14,10","1,08E+00"
"14,13","1,09E+00"
"14,17","9,99E-01"
"14,20","7,77E-01"
"14,23","5,21E-01"
"14,27","2,92E-01"
"14,30","1,66E-01"
"14,33","1,72E-01"
"14,37","2,91E-01"
"14,40","5,00E-01"
"14,43","7,24E-01"
"14,47","8,73E-01"
"14,50","9,37E-01"
"14,53","8,66E-01"
"14,57","6,74E-01"
"14,60","4,34E-01"
"14,63","1,91E-01"
"14,67","6,35E-02"
"14,70","5,01E-02"
"14,73","1,61E-01"
"14,77","3,69E-01"
"14,80","5,82E-01"
"14,83","7,61E-01"
"14,87","8,39E-01"
"14,90","7,98E-01"
"14,93","6,49E-01"
"14,97","4,15E-01"
"15,00","2,10E-01"
"15,03","9,13E-02"
"15,07","6,29E-02"
"15,10","1,60E-01"
"15,13","3,39E-01"
"15,17","5,56E-01"
"15,20","7,41E-01"
"15,23","8,34E-01"
"15,27","7,98E-01"
"15,30","6,37E-01"
"15,33","4,12E-01"
"15,37","1,88E-01"
"15,40","3,99E-02"
"15,43","7,57E-03"
"15,47","8,79E-02"
"15,50","2,85E-01"
"15,53","5,25E-01"
"15,57","7,41E-01"
"15,60","8,72E-01"
"15,63","8,71E-01"
"15,67","7,61E-01"
"15,70","5,84E-01"
"15,73","3,82E-01"
"15,77","2,23E-01"
"15,80","1,58E-01"
"15,83","2,17E-01"
"15,87","3,83E-01"
"15,90","5,91E-01"
"15,93","7,96E-01"
"15,97","9,14E-01"
"16,00","9,11E-01"
"16,03","7,94E-01"
"16,07","5,88E-01"
"16,10","3,81E-01"
"16,13","2,18E-01"
"16,17","1,32E-01"
"16,20","1,36E-01"
"16,23","2,85E-01"
"16,27","4,90E-01"
"16,30","6,89E-01"
"16,33","8,21E-01"
"16,37","8,20E-01"
"16,40","7,11E-01"
"16,43","5,40E-01"
"16,47","3,24E-01"
"16,50","1,58E-01"
"16,53","7,05E-02"
"16,57","1,25E-01"
"16,60","2,94E-01"
"16,63","5,22E-01"
"16,67","7,75E-01"
"16,70","9,65E-01"
"16,73","1,05E+00"
"16,77","1,01E+00"
"16,80","8,46E-01"
"16,83","6,60E-01"
"16,87","4,77E-01"
"16,90","3,72E-01"
"16,93","3,89E-01"
"16,97","5,13E-01"
"17,00","7,00E-01"
"17,03","9,11E-01"
"17,07","1,08E+00"
"17,10","1,18E+00"
"17,13","1,13E+00"
"17,17","9,59E-01"
"17,20","7,44E-01"
"17,23","5,57E-01"
"17,27","4,46E-01"
"17,30","4,12E-01"
"17,33","5,12E-01"
"17,37","7,00E-01"
"17,40","9,16E-01"
"17,43","1,10E+00"
"17,47","1,18E+00"
"17,50","1,16E+00"
"17,53","1,03E+00"
"17,57","8,22E-01"
"17,60","6,37E-01"
"17,63","5,03E-01"
"17,67","4,67E-01"
"17,70","5,20E-01"
"17,73","6,72E-01"
"17,77","8,82E-01"
"17,80","1,05E+00"
"17,83","1,14E+00"
"17,87","1,13E+00"
"17,90","1,01E+00"
"17,93","8,39E-01"
"17,97","6,54E-01"
"18,00","6,33E-01"
"18,03","5,77E-01"
"18,07","6,35E-01"
"18,10","7,87E-01"
"18,13","9,86E-01"
"18,17","1,15E+00"
"18,20","1,23E+00"
"18,23","1,23E+00"
"18,27","1,12E+00"
"18,30","9,52E-01"
"18,33","7,50E-01"
"18,37","5,55E-01"
"18,40","4,79E-01"
"18,43","4,84E-01"
"18,47","6,05E-01"
"18,50","7,88E-01"
"18,53","9,68E-01"
"18,57","1,10E+00"
"18,60","1,11E+00"
"18,63","1,04E+00"
"18,67","8,76E-01"
"18,70","6,74E-01"
"18,73","4,66E-01"
"18,77","3,68E-01"
"18,80","3,61E-01"
"18,83","4,55E-01"
"18,87","6,45E-01"
"18,90","8,35E-01"
"18,93","9,72E-01"
"18,97","1,02E+00"
"19,00","9,88E-01"
"19,03","8,69E-01"
"19,07","6,97E-01"
"19,10","5,36E-01"
"19,13","4,38E-01"
"19,17","4,35E-01"
"19,20","5,18E-01"
"19,23","6,51E-01"
"19,27","8,18E-01"
"19,30","9,27E-01"
"19,33","9,67E-01"
"19,37","9,00E-01"
"19,40","7,77E-01"
"19,43","5,07E-01"
"19,47","3,58E-01"
"19,50","2,56E-01"
"19,53","2,52E-01"
"19,57","3,47E-01"
"19,60","5,06E-01"
"19,63","6,81E-01"
"19,67","8,53E-01"
"19,70","9,38E-01"
"19,73","9,21E-01"
"19,77","8,20E-01"
"19,80","6,74E-01"
"19,83","5,12E-01"
"19,87","4,19E-01"
"19,90","2,80E-01"
"19,93","3,34E-01"
"19,97","4,61E-01"
"20,00","6,22E-01"
"20,03","7,44E-01"
"20,07","8,06E-01"
"20,10","7,97E-01"
"20,13","7,08E-01"
"20,17","5,43E-01"
"20,20","3,83E-01"
"20,23","2,68E-01"
"20,27","2,62E-01"
"20,30","3,46E-01"
"20,33","4,80E-01"
"20,37","6,45E-01"
"20,40","8,07E-01"
"20,43","9,03E-01"
"20,47","9,34E-01"
"20,50","8,49E-01"
"20,53","7,08E-01"
"20,57","5,53E-01"
"20,60","4,32E-01"
"20,63","3,83E-01"
"20,67","4,14E-01"
"20,70","5,34E-01"
"20,73","7,21E-01"
"20,77","8,65E-01"
"20,80","9,63E-01"
"20,83","1,00E+00"
"20,87","9,41E-01"
"20,90","8,37E-01"
"20,93","5,91E-01"
"20,97","4,65E-01"
"21,00","4,34E-01"
"21,03","4,43E-01"
"21,07","5,63E-01"
"21,10","6,98E-01"
"21,13","8,24E-01"
"21,17","8,70E-01"
"21,20","8,57E-01"
"21,23","7,67E-01"
"21,27","6,46E-01"
"21,30","4,35E-01"
"21,33","3,13E-01"
"21,37","2,25E-01"
"21,40","2,45E-01"
"21,43","3,42E-01"
"21,47","4,80E-01"
"21,50","6,10E-01"
"21,53","7,27E-01"
"21,57","7,43E-01"
"21,60","6,78E-01"
"21,63","5,59E-01"
"21,67","3,98E-01"
"21,70","2,61E-01"
"21,73","1,96E-01"
"21,77","1,91E-01"
"21,80","2,86E-01"
"21,83","4,28E-01"
"21,87","5,36E-01"
"21,90","6,38E-01"
"21,93","6,58E-01"
"21,97","6,41E-01"
"22,00","5,05E-01"
"22,03","3,77E-01"
"22,07","2,69E-01"
"22,10","2,04E-01"
"22,13","2,09E-01"
"22,17","2,66E-01"
"22,20","4,19E-01"
"22,23","5,54E-01"
"22,27","6,39E-01"
"22,30","6,93E-01"
"22,33","6,60E-01"
"22,37","5,44E-01"
"22,40","4,03E-01"
"22,43","2,74E-01"
"22,47","2,19E-01"
"22,50","2,15E-01"
"22,53","2,89E-01"
"22,57","4,43E-01"
"22,60","5,71E-01"
"22,63","6,77E-01"
"22,67","6,95E-01"
"22,70","6,52E-01"
"22,73","5,52E-01"
"22,77","3,93E-01"
"22,80","2,94E-01"
"22,83","1,31E-01"
"22,87","1,32E-01"
"22,90","1,75E-01"
"22,93","2,45E-01"
"22,97","3,69E-01"
"23,00","4,24E-01"
"23,03","4,65E-01"
"23,07","4,32E-01"
"23,10","2,99E-01"
"23,13","1,53E-01"
"23,17","3,28E-02"
"23,20","-7,04E-02"
"23,23","-1,05E-01"
"23,27","-5,19E-02"
"23,30","3,19E-02"
"23,33","1,36E-01"
"23,37","2,33E-01"
"23,40","2,69E-01"
"23,43","2,50E-01"
"23,47","1,72E-01"
"23,50","5,87E-02"
"23,53","1,34E-01"
"23,57","6,59E-02"
"23,60","7,17E-02"
"23,63","1,27E-01"
"23,67","2,47E-01"
"23,70","3,83E-01"
"23,73","4,75E-01"
"23,77","5,17E-01"
"23,80","4,93E-01"
"23,83","4,02E-01"
"23,87","2,77E-01"
"23,90","1,51E-01"
"23,93","6,90E-02"
"23,97","3,45E-02"
"24,00","8,36E-02"
"24,03","1,93E-01"
"24,07","2,85E-01"
"24,10","3,65E-01"
"24,13","4,19E-01"
"24,17","4,26E-01"
"24,20","3,67E-01"
"24,23","2,94E-01"
"24,27","1,83E-01"
"24,30","1,07E-01"
"24,33","1,13E-01"
"24,37","1,64E-01"
"24,40","2,47E-01"
"24,43","3,39E-01"
"24,47","4,11E-01"
"24,50","4,31E-01"
"24,53","2,30E-01"
"24,57","1,64E-01"
"24,60","5,10E-02"
"24,63","-7,18E-02"
"24,67","-1,28E-01"
"24,70","-1,51E-01"
"24,73","-1,01E-01"
"24,77","-7,79E-03"
"24,80","9,11E-02"
"24,83","2,18E-01"
"24,87","2,74E-01"
"24,90","2,66E-01"
"24,93","2,15E-01"
"24,97","1,04E-01"
"25,00","-8,36E-03"
"25,03","-7,12E-02"
"25,07","-9,09E-02"
"25,10","-6,81E-02"
"25,13","1,69E-02"
"25,17","9,99E-02"
"25,20","1,97E-01"
"25,23","2,75E-01"
"25,27","2,85E-01"
"25,30","2,58E-01"
"25,33","1,83E-01"
"25,37","1,33E-01"
"25,40","1,01E-01"
"25,43","1,01E-01"
"25,47","1,61E-01"
"25,50","2,27E-01"
"25,53","3,43E-01"
"25,57","4,37E-01"
"25,60","4,66E-01"
"25,63","4,63E-01"
"25,67","4,00E-01"
"25,70","3,17E-01"
"25,73","2,29E-01"
"25,77","1,56E-01"
"25,80","1,62E-01"
"25,83","2,16E-01"
"25,87","3,03E-01"
"25,90","4,04E-01"
"25,93","4,85E-01"
"25,97","5,28E-01"
"26,00","5,21E-01"
"26,03","4,71E-01"
"26,07","3,97E-01"
"26,10","2,88E-01"
"26,13","2,26E-01"
"26,17","1,97E-01"
"26,20","2,31E-01"
"26,23","3,05E-01"
"26,27","3,76E-01"
"26,30","4,64E-01"
"26,33","5,09E-01"
"26,37","4,98E-01"
"26,40","4,64E-01"
"26,43","3,74E-01"
"26,47","2,98E-01"
"26,50","2,32E-01"
"26,53","2,13E-01"
"26,57","2,50E-01"
"26,60","2,89E-01"
"26,63","3,66E-01"
"26,67","4,37E-01"
"26,70","4,42E-01"
"26,73","4,25E-01"
"26,77","3,52E-01"
"26,80","2,56E-01"
"26,83","1,66E-01"
"26,87","1,05E-01"
"26,90","9,16E-02"
"26,93","1,06E-01"
"26,97","1,67E-01"
"27,00","2,59E-01"
"27,03","3,42E-01"
"27,07","4,02E-01"
"27,10","4,02E-01"
"27,13","3,51E-01"
"27,17","2,89E-01"
"27,20","2,26E-01"
"27,23","1,58E-01"
"27,27","1,64E-01"
"27,30","1,76E-01"
"27,33","2,32E-01"
"27,37","3,46E-01"
"27,40","4,33E-01"
"27,43","4,71E-01"
"27,47","4,61E-01"
"27,50","4,12E-01"
"27,53","3,76E-01"
"27,57","3,35E-01"
"27,60","3,10E-01"
"27,63","3,26E-01"
"27,67","3,59E-01"
"27,70","4,69E-01"
"27,73","5,90E-01"
"27,77","7,12E-01"
"27,80","7,95E-01"
"27,83","7,89E-01"
"27,87","7,76E-01"
"27,90","7,06E-01"
"27,93","6,23E-01"
"27,97","5,51E-01"
"28,00","5,41E-01"
"28,03","5,81E-01"
"28,07","6,66E-01"
"28,10","7,77E-01"
"28,13","8,69E-01"
"28,17","9,29E-01"
"28,20","9,58E-01"
"28,23","9,18E-01"
"28,27","7,80E-01"
"28,30","6,96E-01"
"28,33","6,22E-01"
"28,37","6,31E-01"
"28,40","6,32E-01"
"28,43","7,12E-01"
"28,47","7,89E-01"
"28,50","8,92E-01"
"28,53","8,63E-01"
"28,57","8,69E-01"
"28,60","8,88E-01"
"28,63","7,93E-01"
"28,67","7,01E-01"
"28,70","6,26E-01"
"28,73","5,94E-01"
"28,77","6,16E-01"
"28,80","6,86E-01"
"28,83","7,97E-01"
"28,87","8,82E-01"
"28,90","9,26E-01"
"28,93","9,30E-01"
"28,97","8,73E-01"
"29,00","7,34E-01"
"29,03","6,23E-01"
"29,07","5,14E-01"
"29,10","4,58E-01"
"29,13","4,59E-01"
"29,17","5,31E-01"
"29,20","6,43E-01"
"29,23","7,65E-01"
"29,27","7,99E-01"
"29,30","8,03E-01"
"29,33","7,83E-01"
"29,37","7,07E-01"
"29,40","5,90E-01"
"29,43","4,90E-01"
"29,47","4,60E-01"
"29,50","4,88E-01"
"29,53","5,63E-01"
"29,57","6,80E-01"
"29,60","7,70E-01"
"29,63","8,35E-01"
"29,67","8,47E-01"
"29,70","8,54E-01"
"29,73","7,75E-01"
"29,77","5,70E-01"
"29,80","5,07E-01"
"29,83","4,59E-01"
"29,87","4,70E-01"
"29,90","5,31E-01"
"29,93","6,49E-01"
"29,97","7,81E-01"
"30,00","7,99E-01"
"30,03","8,04E-01"
"30,07","7,47E-01"
"30,10","6,14E-01"
"30,13","5,13E-01"
"30,17","4,00E-01"
"30,20","3,37E-01"
"30,23","3,48E-01"
"30,27","4,20E-01"
"30,30","5,40E-01"
"30,33","6,59E-01"
"30,37","7,48E-01"
"30,40","7,73E-01"
"30,43","7,25E-01"
"30,47","5,50E-01"
"30,50","4,12E-01"
"30,53","2,79E-01"
"30,57","2,16E-01"
"30,60","2,04E-01"
"30,63","2,73E-01"
"30,67","3,89E-01"
"30,70","5,38E-01"
"30,73","6,60E-01"
"30,77","7,08E-01"
"30,80","7,02E-01"
"30,83","6,11E-01"
"30,87","4,82E-01"
"30,90","3,69E-01"
"30,93","2,99E-01"
"30,97","2,96E-01"
"31,00","3,40E-01"
"31,03","4,52E-01"
"31,07","6,08E-01"
"31,10","6,99E-01"
"31,13","7,56E-01"
"31,17","7,46E-01"
"31,20","6,42E-01"
"31,23","5,41E-01"
"31,27","4,31E-01"
"31,30","3,53E-01"
"31,33","3,40E-01"
"31,37","3,89E-01"
"31,40","5,24E-01"
"31,43","6,54E-01"
"31,47","7,51E-01"
"31,50","7,99E-01"
"31,53","7,81E-01"
"31,57","6,97E-01"
"31,60","5,47E-01"
"31,63","3,96E-01"
"31,67","2,91E-01"
"31,70","2,45E-01"
"31,73","3,04E-01"
"31,77","4,19E-01"
"31,80","5,66E-01"
"31,83","7,11E-01"
"31,87","7,81E-01"
"31,90","7,97E-01"
"31,93","7,14E-01"
"31,97","5,88E-01"
"32,00","4,56E-01"
"32,03","3,18E-01"
"32,07","2,56E-01"
"32,10","3,09E-01"
"32,13","4,26E-01"
"32,17","5,58E-01"
"32,20","6,66E-01"
"32,23","7,53E-01"
"32,27","7,55E-01"
"32,30","6,91E-01"
"32,33","5,57E-01"
"32,37","3,75E-01"
"32,40","2,54E-01"
"32,43","2,25E-01"
"32,47","2,63E-01"
"32,50","3,80E-01"
"32,53","5,33E-01"
"32,57","6,83E-01"
"32,60","7,95E-01"
"32,63","7,92E-01"
"32,67","7,32E-01"
"32,70","5,84E-01"
"32,73","3,19E-01"
"32,77","2,28E-01"
"32,80","1,52E-01"
"32,83","1,73E-01"
"32,87","2,73E-01"
"32,90","4,23E-01"
"32,93","5,73E-01"
"32,97","6,71E-01"
"33,00","6,93E-01"
"33,03","6,44E-01"
"33,07","5,16E-01"
"33,10","3,19E-01"
"33,13","1,85E-01"
"33,17","1,11E-01"
"33,20","1,05E-01"
"33,23","1,97E-01"
"33,27","3,50E-01"
"33,30","4,95E-01"
"33,33","6,19E-01"
"33,37","6,41E-01"
"33,40","6,11E-01"
"33,43","3,62E-01"
"33,47","2,07E-01"
"33,50","1,23E-01"
"33,53","-3,22E-02"
"33,57","-2,81E-02"
"33,60","5,66E-02"
"33,63","2,01E-01"
"33,67","3,79E-01"
"33,70","4,97E-01"
"33,73","5,50E-01"
"33,77","5,42E-01"
"33,80","3,98E-01"
"33,83","1,76E-01"
"33,87","3,99E-02"
"33,90","-6,30E-02"
"33,93","-5,23E-02"
"33,97","4,48E-02"
"34,00","2,10E-01"